zip,er_visits,year,quarter,air_quality,asbestos,covid,electrical,food,garbage,homelessness,medical,mold,mosquitoes,rodent,safety,sewer,smoking,water_plumbing,felonies,misdemeanors,violations
11364,7,2022,1,2,0,3,12,5,457,0,6,0,0,3,17,62,5,373,103,93,39
11364,10,2022,2,6,5,0,3,3,130,5,14,0,0,9,5,69,3,131,90,103,34
11364,8,2022,3,2,1,0,6,6,153,8,3,0,4,14,5,55,5,164,131,115,38
11364,11,2022,4,6,1,0,3,7,160,1,0,0,0,8,6,59,8,315,150,130,35
11365,46,2022,1,2,2,5,23,10,480,7,0,1,0,3,12,57,10,444,136,159,45
11365,48,2022,2,4,0,0,6,7,200,12,2,0,0,9,10,58,13,227,132,175,82
11365,54,2022,3,11,3,0,17,5,267,13,9,0,1,21,16,111,12,197,133,196,85
11365,54,2022,4,1,0,0,9,10,176,20,2,0,0,3,10,59,12,204,167,187,85
11366,NULL,2022,1,341,0,23,4,9,224,0,0,0,0,2,1,30,0,87,43,60,27
11366,NULL,2022,2,406,0,163,2,9,128,1,1,0,0,8,6,31,0,78,42,51,12
11366,NULL,2022,3,268,0,0,1,8,119,3,0,0,1,9,1,48,0,64,47,68,21
11366,NULL,2022,4,489,1,0,7,8,99,1,1,0,0,5,3,29,0,93,44,68,12
11367,47,2022,1,4,2,25,16,9,473,1,5,0,0,21,27,35,3,510,85,151,64
11367,47,2022,2,6,2,0,24,5,340,2,6,0,1,42,31,45,0,339,95,191,56
11367,45,2022,3,5,0,0,68,4,450,7,2,0,4,20,51,63,4,407,97,183,59
11367,57,2022,4,16,0,0,34,5,310,2,2,0,1,15,14,38,3,442,115,208,67
11368,132,2022,1,21,5,7,29,35,560,14,3,0,0,47,54,28,2,1066,360,570,169
11368,153,2022,2,21,0,0,36,42,417,17,1,0,0,108,33,80,0,500,405,654,175
11368,112,2022,3,16,3,0,66,56,495,20,0,1,1,65,37,103,3,613,589,682,206
11368,141,2022,4,10,0,0,23,44,450,20,0,0,0,49,27,49,11,852,433,627,204
11369,31,2022,1,1,0,2,14,6,303,4,2,0,0,20,16,26,0,365,253,392,98
11369,50,2022,2,7,0,0,13,8,264,3,1,0,0,35,12,41,0,216,251,419,122
11369,41,2022,3,12,1,0,15,9,271,10,1,1,0,32,17,87,2,209,179,346,93
11369,44,2022,4,4,0,0,11,10,278,5,1,0,0,8,2,37,3,269,187,363,67
11370,21,2022,1,1,0,3,13,3,290,1,2,0,0,10,7,21,0,130,89,144,32
11370,18,2022,2,3,0,0,4,2,146,5,0,0,0,15,8,28,0,103,93,207,41
11370,10,2022,3,8,0,0,4,10,149,1,0,1,0,17,4,54,1,101,126,261,42
11370,31,2022,4,4,2,0,11,10,177,5,0,0,0,14,3,35,0,146,95,224,28
11372,36,2022,1,6,1,15,26,40,381,12,6,0,0,35,44,23,33,893,219,318,86
11372,41,2022,2,12,0,0,17,66,292,36,6,0,1,57,38,47,2,220,238,406,110
11372,47,2022,3,13,1,0,39,66,310,30,5,0,1,48,29,72,6,244,291,368,105
11372,45,2022,4,27,1,0,26,71,332,36,4,0,0,33,31,41,6,928,253,390,107
11373,68,2022,1,3,1,13,34,49,628,31,4,0,0,34,70,50,3,1221,436,794,174
11373,74,2022,2,4,2,0,19,32,392,41,1,0,1,63,34,59,1,431,532,857,186
11373,53,2022,3,10,2,0,46,29,413,69,5,1,2,62,38,107,2,397,524,872,192
11373,46,2022,4,7,4,0,45,37,422,24,2,0,0,46,47,44,4,1190,495,919,173
11374,16,2022,1,3,5,12,14,14,260,5,2,2,0,13,23,27,6,523,62,107,30
11374,29,2022,2,3,4,0,4,11,143,7,6,0,1,43,15,38,4,171,72,101,45
11374,35,2022,3,14,5,0,23,23,221,11,14,0,4,55,25,108,1,174,76,130,66
11374,27,2022,4,6,1,0,17,17,157,12,4,0,0,32,10,43,4,660,73,159,35
11375,18,2022,1,38,8,24,17,37,579,29,1,0,0,30,42,48,4,1006,194,528,67
